full_name,rating,jersey,team,position,b_day,Age,Salary,country,draft_year,years_in_league,draft_round,draft_peak,college,Height,Weight
Pau Gasol,75,#0,,C,6/7/1980,40,5538540,Spain,2001,19,1,3,,2.03,95.3
Kyle Korver,75,#26,Milwaukee Bucks,F,17/3/1981,39,6004753,United States of America,2003,17,2,51,Creighton,2.11,99.8
Tyson Chandler,73,#19,Houston Rockets,C,2/10/1982,38,2564753,United States of America,2001,19,1,2,,1.96,99.8
JJ Redick,80,#4,New Orleans Pelicans,G,24/6/1984,36,13486300,United States of America,2006,14,1,11,Duke,2.08,106.6
Andre Iguodala,78,#9,Miami Heat,G-F,28/1/1984,36,17185185,United States of America,2004,16,1,9,Arizona,2.01,93.4
Jose Juan Barea,76,#5,Dallas Mavericks,G,26/6/1984,36,2564753,Puerto Rico,2006,14,Undrafted,Undrafted,Northeastern,2.01,94.8
LeBron James,97,#23,Los Angeles Lakers,F,30/12/1984,35,37436858,United States of America,2003,17,1,1,,1.98,93.4
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,19/7/1985,35,26000000,United States of America,2006,14,1,2,Texas,2.03,99.8
Chris Paul,85,#3,Oklahoma City Thunder,G,6/5/1985,35,38506482,United States of America,2005,15,1,4,Wake Forest,1.93,89.8
Marc Gasol,82,#33,Toronto Raptors,C,29/1/1985,35,25595700,Spain,2007,13,2,48,,1.91,78.9
Average NBA Player,76,,,,,27,8530080,,,6,,,,2.00,97.2
Tyler Herro,73,#14,Miami Heat,G,20/1/2000,20,3640200,United States of America,2019,1,1,13,Kentucky,1.91,82.1
Nassir Little,73,#9,Portland Trail Blazers,F,11/2/2000,20,2105520,United States of America,2019,1,1,25,North Carolina,1.91,93
Luka Samanic,72,#19,San Antonio Spurs,F,9/1/2000,20,2689920,Croatia,2019,1,1,19,,2.11,108.9
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,4/5/2000,20,1290960,United States of America,2019,1,1,30,USC,1.96,99.3
Alen Smailagic,71,#6,Golden State Warriors,F,18/8/2000,20,898310,Serbia,2019,1,2,39,,1.91,86.2
Darius Bazley,70,#7,Oklahoma City Thunder,F,12/6/2000,20,2284800,United States of America,2019,1,1,23,,2.01,93
Isaac Bonga,68,#17,Washington Wizards,G,8/11/1999,20,1416852,Germany,2018,2,2,39,,2.08,102.1
Jalen Lecque,68,#0,Phoenix Suns,G,13/6/2000,20,898310,United States of America,2019,1,Undrafted,Undrafted,,1.91,86.2
Sekou Doumbouya,73,#45,Detroit Pistons,F,23/12/2000,19,3285120,France,2019,1,1,15,,1.93,96.2
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,20/11/2000,19,898310,United States of America,2019,1,2,46,Iowa State,1.93,108.9
