country,country_count,,position,position_count,,team,team_count
United States of America,323,,C,48,,Atlanta Hawks,12
Angola,1,,C-F,6,,Boston Celtics,14
Australia,9,,F,138,,Brooklyn Nets,14
Austria,1,,F-C,36,,Charlotte Hornets,10
Bosnia and Herzegovina,2,,F-G,13,,Chicago Bulls,15
Brazil,2,,G,169,,Cleveland Cavaliers,12
Cameroom,2,,G-F,19,,Dallas Mavericks,15
Canada,15,,,,,Denver Nuggets,13
Croatia,6,,,,,Detroit Pistons,14
Czechia,1,,,,,Golden State Warriors,9
Democratic Republic of the Congo,2,,,,,Houston Rockets,13
Dominican Republic,2,,,,,Indiana Pacers,15
Egypt,1,,,,,Los Angeles Clippers,14
Finland,1,,,,,Los Angeles Lakers,15
France,8,,,,,Memphis Grizzlies,13
Georgia,1,,,,,Miami Heat,12
Germany,6,,,,,Milwaukee Bucks,17
Greece,3,,,,,Minnesota Timberwolves,13
Haiti,1,,,,,New Orleans Pelicans,15
Israel,1,,,,,New York Knicks,15
Italy,4,,,,,Not in a Team,23
Japan,1,,,,,Oklahoma City Thunder,13
Latvia,3,,,,,Orlando Magic,15
Lithuania,2,,,,,Philadelphia 76ers,14
Mali,1,,,,,Phoenix Suns,16
Montenegro,1,,,,,Portland Trail Blazers,12
New Zealand,1,,,,,Sacramento Kings,14
Nigeria,3,,,,,San Antonio Spurs,14
Philippines,1,,,,,Toronto Raptors,13
Puerto Rico,1,,,,,Utah Jazz,12
Senegal,1,,,,,Washington Wizards,13
Serbia,5,,,,,,
Slovenia,2,,,,,,
Spain,6,,,,,,
Switzerland,1,,,,,,
The Bahamas,2,,,,,,
Turkey,4,,,,,,
Ukraine,2,,,,,,
