full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Boban Marjanovic,75,#51,Dallas Mavericks,C,08/15/1988,2.24,131.5,3500000,Serbia,2010,Undrafted,Undrafted,
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/1994,2.13,131.5,12000000,Bosnia and Herzegovina,2014,1,16,
Zion Williamson,81,#1,New Orleans Pelicans,F,7/6/2000,1.98,128.8,9757440,United States of America,2019,1,1,Duke
Cristiano Felicio,72,#6,Chicago Bulls,F,7/7/1992,2.08,122.5,8156500,Brazil,2014,Undrafted,Undrafted,
Andre Drummond,86,#0,Cleveland Cavaliers,C,8/10/1993,2.08,122.5,27093018,United States of America,2012,1,9,UConn
JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/1988,2.13,122.5,4000000,United States of America,2008,1,18,Nevada
DeMarcus Cousins,86,#0,,C,08/13/1990,2.08,122.5,3500000,United States of America,2010,1,5,Kentucky
Jahlil Okafor,76,#8,New Orleans Pelicans,C,12/15/1995,2.08,122.5,1702486,United States of America,2015,1,3,Duke
Brook Lopez,79,#11,Milwaukee Bucks,C,4/1/1988,2.13,120.2,12093024,United States of America,2008,1,10,Stanford
Marc Gasol,82,#33,Toronto Raptors,C,01/29/1985,2.11,120.2,25595700,Spain,2007,2,48,
Average NBA Player,76,,,,,2,97.2,,,6,,,
Monte Morris,77,#11,Denver Nuggets,G,06/27/1995,1.88,79.4,1588231,United States of America,2017,2,51,Iowa State
Shabazz Napier,75,#0,Washington Wizards,G,07/14/1991,1.83,79.4,1845301,United States of America,2014,1,24,UConn
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/1986,1.85,79.4,8000000,United States of America,2005,2,45,
Ja Morant,79,#12,Memphis Grizzlies,G,8/10/1999,1.91,78.9,8730240,United States of America,2019,1,2,Murray State
Kemba Walker,88,#8,Boston Celtics,G,5/8/1990,1.83,78,32742000,United States of America,2011,1,9,UConn
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/1993,1.85,78,15500000,Germany,2013,1,17,
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/1997,1.91,77.6,6392760,United States of America,2017,1,5,Kentucky
Tim Frazier,72,#0,,G,11/1/1990,1.83,77.1,1620564,United States of America,2014,Undrafted,Undrafted,Penn State
Raul Neto,72,#19,Philadelphia 76ers,G,05/19/1992,1.85,77.1,1737145,Brazil,2013,2,47,
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/1996,1.93,77.1,2321735,United States of America,2016,1,29,Washington
